"DeviceName","DriverVersion","DriverDate","DriverProviderName","InfName"
"ACPI Fan","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"ACPI Lid","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"ACPI Power Button","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"ACPI Processor Container Device","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"ACPI Sleep Button","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"ACPI Thermal Zone","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"AMD Audio CoProcessor","6.0.0.71","5/9/2023 5:30:00 AM","AMD","oem48.inf"
"AMD Crash Defender","22.20.0.2","5/12/2022 5:30:00 AM","AMD","oem87.inf"
"AMD GPIO Controller","2.2.0.130","6/3/2022 5:30:00 AM","Advanced Micro Devices, Inc","oem60.inf"
"AMD I2C Controller","1.2.0.119","6/3/2022 5:30:00 AM","Advanced Micro Devices, Inc.","oem26.inf"
"AMD Micro PEP Device","1.0.35.0","5/20/2022 5:30:00 AM","Advanced Micro Devices, Inc.","oem34.inf"
"AMD Radeon(TM) Graphics","31.0.12014.6","7/12/2022 5:30:00 AM","Advanced Micro Devices, Inc.","oem86.inf"
"AMD SMBus","5.12.0.38","6/3/2022 5:30:00 AM","Advanced Micro Devices, Inc","oem38.inf"
"AMDRyzenMaster Device","2.9.0.0","10/30/2024 5:30:00 AM","AMD","oem32.inf"
"Armoury Crate Control Interface","1.1.0.0","9/25/2024 5:30:00 AM","ASUSTek Computer Inc.","oem64.inf"
"ASUS System Control Interface v3","3.1.45.0","6/17/2025 5:30:00 AM","ASUSTeK COMPUTER INC.","oem77.inf"
"ASUS Wireless Radio Control","1.0.0.14","7/9/2021 5:30:00 AM","ASUSTeK COMPUTER INC.","oem3.inf"
"Charge Arbitration Driver","10.0.26100.4768","6/21/2006 5:30:00 AM","Microsoft","ChargeArbitration.inf"
"Composite Bus Enumerator","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","compositebus.inf"
"Direct memory access controller","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"High Definition Audio Bus","22.20.0.0","4/20/2022 5:30:00 AM","AMD","oem36.inf"
"High Definition Audio Controller","10.0.26100.4768","7/15/2025 5:30:00 AM","Microsoft","hdaudbus.inf"
"High Definition Audio Controller","10.0.26100.4768","7/15/2025 5:30:00 AM","Microsoft","hdaudbus.inf"
"High precision event timer","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"MediaTek Bluetooth Adapter","1.3.17.155","3/20/2023 5:30:00 AM","Mediatek Inc.","oem52.inf"
"MediaTek Wi-Fi 6 MT7921 Wireless LAN Card","3.0.1.1294","3/13/2023 5:30:00 AM","MediaTek, Inc.","oem33.inf"
"Microsoft ACPI-Compliant Embedded Controller","10.0.26100.1150","6/21/2006 5:30:00 AM","Microsoft","machine.inf"
"Microsoft ACPI-Compliant System","10.0.26100.4768","6/21/2006 5:30:00 AM","Microsoft","acpi.inf"
"Microsoft Basic Display Driver","10.0.26100.4202","6/21/2006 5:30:00 AM","Microsoft","basicdisplay.inf"
"Microsoft Basic Render Driver","10.0.26100.4946","6/21/2006 5:30:00 AM","Microsoft","basicrender.inf"
"Microsoft Hyper-V Virtualization Infrastructure Driver","10.0.26100.4768","6/21/2006 5:30:00 AM","Microsoft","wvid.inf"
"Microsoft Kernel Debug Network Adapter","10.0.26100.3624","6/21/2006 5:30:00 AM","Microsoft","kdnic.inf"
